objID,ra,dec,r,u,g,i,z,u_r,g_r,g_i,r_i,r_z,photoz,radmpc,vel
1237651737380848078,210.290577656771,2.95032951611981,19.83841,23.11301,21.09404,19.44367,19.21545,3.274601,1.255632,1.650372,0.3947392,0.6229649,0.274043,1.11593690553768,71221.1572183343
1237651737380848082,210.290932709323,3.00191589444805,19.43068,21.97965,20.58177,18.89446,18.54617,2.548967,1.151094,1.687309,0.5362148,0.8845062,0.26693,1.81099720976019,69635.3624091649
1237651737380848124,210.299586250689,2.94206017638121,22.10291,26.31256,23.08858,22.38439,21.75548,4.209648,0.985672,0.7041893,-0.2814827,0.3474293,0.216798,1.07312398212499,58082.5564941496
1237651737380848130,210.302528716771,3.00130922164846,20.58899,22.10589,21.23525,20.53433,20.82228,1.516903,0.6462631,0.7009182,0.05465508,-0.2332897,0.291776,1.85124778805024,75118.1719223956
1237651737380848142,210.308666077094,2.96071191710317,19.89168,23.47338,21.11472,19.43601,19.10378,3.581703,1.223038,1.678707,0.4556694,0.7879009,0.215446,1.36586047776036,57761.7206757113
1237651737380848190,210.317569538533,2.89191503143459,19.56412,22.07322,20.64433,19.12521,18.80057,2.5091,1.080214,1.519123,0.4389095,0.7635441,0.22543,0.856905578553903,60119.4285588157
1237651737380848226,210.329392168314,2.94281126061462,19.10844,22.83825,20.43151,18.5395,18.11384,3.729811,1.323069,1.892014,0.5689449,0.9946022,0.245468,1.35645504848334,64770.8495144897
1237651737380848269,210.343651240319,2.98529551100213,21.2416,23.12252,21.81455,21.94827,22.7035,1.880919,0.5729446,-0.1337204,-0.706665,-1.461901,0.250849,1.93682617212429,66001.8153315966
1237651737380848310,210.360147478117,2.90791477901553,19.58504,23.27751,20.98942,19.04829,18.69837,3.692471,1.404383,1.941128,0.5367451,0.8866615,0.256922,1.49842475457565,67381.9554994119
1237651737380848325,210.366146424457,2.9253730949465,19.86773,22.53677,20.86549,19.37181,19.02727,2.669039,0.9977551,1.493675,0.4959202,0.8404598,0.215015,1.66305490394342,57659.320377678
1237651737380848344,210.370138900551,2.94246557551024,20.42317,22.25789,21.04874,20.16326,20.03864,1.834717,0.6255741,0.8854828,0.2599087,0.3845272,0.211299,1.8229956810497,56774.4825536232
1237651737380848349,210.368076759738,2.93555352943727,19.06927,22.28693,20.60361,18.54712,18.15848,3.217661,1.534346,2.056496,0.52215,0.9107895,0.292759,1.75018990994592,75331.8591760089
1237651737380848421,210.390895329465,2.90108063229317,19.93209,21.71984,20.64001,19.8963,19.03354,1.787745,0.7079163,0.7437096,0.0357933,0.8985577,0.250432,1.9021137079494,65906.6951643201
1237651737380848623,210.346558166121,2.98826384040351,22.00707,24.76654,23.17776,21.85147,22.45498,2.759462,1.170691,1.326294,0.1556034,-0.4479008,0.251079,1.99545681893128,66054.2505722109
1237651737380848840,210.357549505315,2.92277909317163,22.02022,22.06542,23.1229,23.30675,22.19436,0.04519463,1.102673,-0.1838531,-1.286526,-0.1741352,0.203031,1.53671352148611,54792.2945494283
1237651754560389146,210.158922773938,2.88181908658858,20.52488,23.16359,21.65866,20.19781,20.60305,2.638706,1.133778,1.46085,0.3270721,-0.07816696,0.249294,1.41439620067352,65646.8808987239
1237651754560389162,210.194727348528,2.85707983809934,18.53173,21.99699,19.87095,18.0621,17.78413,3.465263,1.33922,1.808847,0.4696274,0.7476025,0.243173,0.955555940035144,64243.5146752814
1237651754560389181,210.229779242037,2.87731789505763,19.51764,23.7707,20.98047,19.0223,18.81623,4.253067,1.462833,1.958168,0.4953346,0.7014084,0.292946,0.409459255930471,75372.4906819421
1237651754560389226,210.253467623549,2.85655349019124,20.68313,21.9568,21.09092,20.56441,20.54394,1.273666,0.4077892,0.5265102,0.118721,0.1391926,0.222996,0.3196074655967,59547.1154055582
